Outcome,Ours,IPC,Bullet,Experiment,exp_sample_count
2,0.029116465863453813,0.01810865191146881,0.019,0.012048192771084338,8
3,0.05421686746987951,0.03923541247484909,0.04,0.04969879518072289,33
4,0.08333333333333333,0.079476861167002,0.062,0.0783132530120482,52
5,0.1114457831325301,0.12877263581488932,0.131,0.1536144578313253,102
6,0.13855421686746988,0.14889336016096577,0.143,0.1460843373493976,97
7,0.16666666666666666,0.16498993963782696,0.16,0.15813253012048192,105
8,0.13855421686746988,0.1458752515090543,0.152,0.13855421686746988,92
9,0.1114457831325301,0.12072434607645874,0.135,0.1430722891566265,95
10,0.08333333333333333,0.08148893360160965,0.06,0.07228915662650602,48
11,0.05421686746987951,0.05331991951710261,0.04,0.04066265060240964,27
12,0.029116465863453813,0.019114688128772633,0.021,0.007530120481927711,5
