Outcome,Ours,IPC,Bullet,Experiment,exp_sample_count
2,0.03273179345364131,0.024673422206079987,0.0201296,0.019169329073482427,12
3,0.055729288854142224,0.05387084848376364,0.0587061,0.036741214057507986,23
4,0.0776647844670431,0.087651478886331,0.0968078,0.06230031948881789,39
5,0.1127739774452045,0.11410010269009241,0.107655,0.12460063897763578,78
6,0.13952597209480558,0.14017012615311353,0.135824,0.16613418530351437,104
7,0.16463096707380656,0.16548514893663402,0.166377,0.16932907348242812,106
8,0.13952597209480558,0.13891912502721251,0.137677,0.14696485623003194,92
9,0.1127739774452045,0.11040509936458943,0.113411,0.12460063897763578,78
10,0.0776647844670431,0.08958948063053257,0.093407,0.08466453674121406,53
11,0.054246689150662164,0.05155754640179176,0.0524294,0.04952076677316294,31
12,0.03273179345364131,0.023577621219859096,0.0159246,0.01597444089456869,10
